l0|l1|m0|m1|q01|q10|tree|ntips|tipstates
1.06780683976282|1.12964567849075|1.20236288273873|1.17683218114989|1.15797953554654|1.1724623827214|NA|0|NA
1.10764921602642|1.17181274957391|1.14174663981413|1.17252279536051|1.15021383181791|1.16091686479904|NA|0|NA
1.12479088923455|1.13098760648423|1.13706784148344|1.13185261836097|1.16254585919893|1.1523412315751|NA|0|NA
1.17709755503501|1.11864115981005|1.12585586442919|1.29075090960826|1.08591781362889|1.14829836330649|NA|0|NA
1.07518265457274|1.15289514670072|1.18497320053603|1.12144613494448|1.15373600076622|1.15929184210955|NA|0|NA
1.20774243449557|1.19880944228207|1.23581675029962|1.09657100068249|1.25894440914395|1.19982900137742|NA|0|NA
1.26858954066432|1.11911317833126|1.14691208647008|1.19219819440183|1.14571463668422|1.34794929345807|NA|0|NA
1.24719858156427|1.07073763797194|1.14286248871083|1.11929324228071|1.21476423951721|1.13747298880046|NA|0|NA
1.09039802089871|1.13970025390283|1.21103722865259|1.15101143119936|1.0955978337839|1.16795550984075|NA|0|NA
1.09047355202516|1.02558340662155|1.25779936693794|1.16206684904044|1.23794311186946|1.10147924117553|NA|0|NA
1.20767402898121|1.16945391791422|1.11832574484732|1.1742855541686|1.13178877976388|1.32496699950906|NA|0|NA
1.15420323736962|1.08764654707243|1.21217334494185|1.16626106004345|1.12910320787121|1.14089334841611|NA|0|NA
1.17475277372914|1.19285753184654|1.1676167919698|1.0824701667481|1.20204227372443|1.18051395247935|NA|0|NA
1.17432071175077|1.11692362282432|1.06387409379505|1.18974426610008|1.19545883721528|1.2732245229282|NA|0|NA
1.22709483158147|1.20510084876343|1.11021903008282|1.20429203291875|1.27102959995672|1.22813171111121|NA|0|NA
1.13627054702766|1.21665554293245|1.15384111654962|1.25672485715298|1.14000096872901|1.05147715634943|NA|0|NA
1.29199959514549|1.1809893574602|1.11279527660652|1.17463048966467|1.13807954451874|1.15980826925845|NA|0|NA
1.13294264672027|1.12521811247968|1.09636552171895|1.13360360084847|1.18582920460409|1.15751377767642|NA|0|NA
1.24542822836852|1.14216373056702|1.16843557340751|1.06764523410336|1.21125066786763|1.25508053306348|NA|0|NA
1.20127014100961|1.2566831458271|1.15243311556666|1.14219563192939|1.07097667500084|1.18815975269081|NA|0|NA
1.13670058117519|1.1600681048973|1.13675254017788|1.14827075631761|1.0346764844237|1.19332930048251|NA|0|NA
1.14407442011454|1.08743539323515|1.14584206411306|1.068981451548|1.1841530167219|1.15799716358546|NA|0|NA
1.17481606833663|1.06564613428242|1.15283647891588|1.20992373335725|1.06089062489859|1.09533921569826|NA|0|NA
1.11803945271933|1.13075556550395|1.11218571056143|1.10138100648367|1.14819759665562|1.17724124286436|NA|0|NA
1.12804859080182|1.15782738534564|1.18670728868172|1.09884843473075|1.1584462208896|1.09557501206376|NA|0|NA
1.08579625077396|1.19454474492102|1.12857066903655|1.21299815189173|1.19691698647131|1.07472410577268|NA|0|NA
1.12730180375349|1.12676567884111|1.17042387648279|1.24439709365105|1.23894766760479|1.09113983925481|NA|0|NA
1.26661340576125|1.13809916792915|1.15477507521303|1.15916436677704|1.10283909544575|1.10352390036974|NA|0|NA
1.1796363507478|1.18633951874189|1.17477241337777|1.23840200686798|1.15487828335075|1.23996985190462|NA|0|NA
1.28906618386915|1.14362129589294|1.11837927433554|1.17564072967279|1.07005176011142|1.17172040445116|NA|0|NA
1.1270275662564|1.18672879039561|1.15700981189775|1.13718354907602|1.32148208445501|1.00115787024635|NA|0|NA
